Phone,Cash
Realme Narzo 20A (Glory Silver  64 GB), 9 499
Redmi 9i (Sea Blue  64 GB), 7 999
Realme Narzo 20A (Glory Silver  32 GB), 8 499
Realme C11 (Rich Grey  32 GB), 7 499
Realme C11 (Rich Green  32 GB), 7 499
POCO M2 (Slate Blue  64 GB), 9 999
Redmi 9 Prime (Space Blue  64 GB), 9 499
Redmi 9i (Nature Green  64 GB), 7 999
POCO C3 (Arctic Blue  32 GB), 7 499
POCO C3 (Lime Green  64 GB), 8 499
POCO M2 (Pitch Black  64 GB), 9 999
Redmi 9i (Midnight Black  64 GB), 7 999
Redmi 9 Prime (Mint Green  64 GB), 9 499
POCO C3 (Lime Green  32 GB), 7 499
POCO C3 (Arctic Blue  64 GB), 8 499
POCO C3 (Matte Black  32 GB), 7 499
Infinix Hot 10 (Obsidian Black  64 GB), 9 499
Infinix Hot 10 (Ocean Wave  64 GB), 9 499
Infinix Hot 10 (Amber Red  64 GB), 9 499
Infinix Hot 10 (Moonlight Jade  64 GB), 9 499
Redmi 9 Prime (Matte Black  64 GB), 9 499
Infinix Smart 4 Plus (Midnight Black  32 GB), 7 999
Infinix Smart 4 Plus (Ocean Wave  32 GB), 7 999
Infinix Smart 4 Plus (Quetzal Cyan  32 GB), 7 999
